step	accuracy
0	0.7795666456222534
1	0.8516833186149597
2	0.8693333268165588
3	0.8774499893188477
4	0.8855999708175659
5	0.8908666372299194
6	0.8959500193595886
7	0.9009333252906799
8	0.903333306312561
9	0.9070833325386047
