epoch,loss,accuracy
1,0.6327723860740662,0.7795666456222534
2,0.4244186282157898,0.8516833186149597
3,0.3701780140399933,0.8693333268165588
4,0.34383130073547363,0.8774499893188477
5,0.3213466703891754,0.8855999708175659
6,0.30329471826553345,0.8908666372299194
7,0.28848984837532043,0.8959500193595886
8,0.2775092124938965,0.9009333252906799
9,0.2660505473613739,0.903333306312561
10,0.2564327120780945,0.9070833325386047
